code,name,latest_price,change_pct,volume,turnover,market_cap_cny,float_market_cap_cny,pe_dynamic,pb,market_cap_100m_cny,float_market_cap_100m_cny,ts_code,area,industry,market,list_date,industry_boards,concept_boards,updated_at
688582,芯动联科,58.83,-7.59,104275.0,638684361.0,23634308664.0,14720387064.0,2314.08,9.76,236.34308664,147.20387064,688582.SH,安徽,元器件,科创板,20230630,元器件,,2026-06-29 13:11:43
688349,三一重能,14.82,2.56,200881.0,297051677.0,23613243299.0,22901942579.0,32.91,1.7,236.13243299,229.01942579,688349.SH,北京,电气设备,科创板,20220622,电气设备,,2026-06-29 13:11:43
000830,鲁西化工,12.37,-1.51,223186.0,277910023.54,23556426166.0,23554660262.0,13.45,1.24,235.56426166,235.54660262,000830.SZ,山东,化工原料,主板,19980807,化工原料,,2026-06-29 13:11:43
301389,隆扬电子,82.73,-11.97,101892.0,892205624.46,23453955000.0,23453955000.0,217.8,10.57,234.53955,234.53955,301389.SZ,江苏,元器件,创业板,20221031,元器件,,2026-06-29 13:11:43
000750,国海证券,3.67,-0.27,384963.0,141809803.2,23437260331.0,21272068596.0,22.81,1.03,234.37260331,212.72068596,000750.SZ,广西,证券,主板,19970709,证券,,2026-06-29 13:11:43
600575,淮河能源,3.27,-0.91,306766.0,100191257.0,23435410396.0,12708073683.0,18.09,1.12,234.35410396,127.08073683,600575.SH,安徽,火力发电,主板,20030328,火力发电,,2026-06-29 13:11:43
600516,方大炭素,5.82,-10.05,2172294.0,1332977964.0,23431147542.0,23431147542.0,661.22,1.44,234.31147542,234.31147542,600516.SH,甘肃,矿物制品,主板,20020830,矿物制品,,2026-06-29 13:11:43
000951,中国重汽,20.03,5.98,132603.0,256890682.78,23414968869.0,23414968869.0,12.87,1.46,234.14968869,234.14968869,000951.SZ,山东,汽车整车,主板,19991125,汽车整车,,2026-06-29 13:11:43
300679,电连技术,55.1,-13.35,256639.0,1512802527.91,23407582000.0,19805218110.0,67.16,4.77,234.07582,198.0521811,300679.SZ,深圳,元器件,创业板,20170731,元器件,,2026-06-29 13:11:43
600153,建发股份,8.07,-0.12,164019.0,130831378.0,23399276107.0,23399276107.0,8.34,0.56,233.99276107,233.99276107,600153.SH,福建,仓储物流,主板,19980616,仓储物流,,2026-06-29 13:11:43
603939,益丰药房,19.28,6.05,155155.0,294877689.0,23374927130.0,23374927130.0,11.7,2.05,233.7492713,233.7492713,603939.SH,湖南,医药商业,主板,20150217,医药商业,,2026-06-29 13:11:43
600396,华电辽能,15.86,3.19,1710571.0,2639859293.0,23357130118.0,23357130118.0,37.03,15.22,233.57130118,233.57130118,600396.SH,辽宁,火力发电,主板,20010328,火力发电,,2026-06-29 13:11:43
600161,天坛生物,11.81,3.51,165899.0,192326923.0,23352756777.0,23352756777.0,46.38,1.97,233.52756777,233.52756777,600161.SH,北京,生物制药,主板,19980616,生物制药,,2026-06-29 13:11:43
002244,滨江集团,7.5,0.4,193831.0,143974944.12,23335829175.0,20681620050.0,7.2,0.78,233.35829175,206.8162005,002244.SZ,浙江,区域地产,主板,20080529,区域地产,,2026-06-29 13:11:43
001301,尚太科技,89.48,4.45,39622.0,345711648.62,23332460302.0,16630560507.0,32.26,3.34,233.32460302,166.30560507,001301.SZ,河北,电气设备,主板,20221228,电气设备,,2026-06-29 13:11:43
002552,宝鼎科技,60.12,-10.0,111326.0,692834286.86,23325678100.0,22154417735.0,88.29,14.9,233.256781,221.54417735,002552.SZ,浙江,元器件,主板,20110225,元器件,,2026-06-29 13:11:43
688535,华海诚科,164.17,0.16,136895.0,2297859977.0,23306940244.0,21922240827.0,430.74,10.87,233.06940244,219.22240827,688535.SH,江苏,半导体,科创板,20230404,半导体,,2026-06-29 13:11:43
600459,贵研铂业,28.26,0.53,530516.0,1531397822.0,23265839643.0,21469298851.0,26.18,2.61,232.65839643,214.69298851,600459.SH,云南,小金属,主板,20030516,小金属,,2026-06-29 13:11:43
688352,颀中科技,19.56,-6.86,332615.0,672399712.0,23257748445.0,7156813857.0,-19.84,4.03,232.57748445,71.56813857,688352.SH,安徽,半导体,科创板,20230420,半导体,,2026-06-29 13:11:43
301606,绿联科技,56.05,-2.94,25389.0,145809058.08,23255694626.0,9248182572.0,24.47,6.9,232.55694626,92.48182572,301606.SZ,深圳,元器件,创业板,20240726,元器件,,2026-06-29 13:11:43
300255,常山药业,25.29,10.87,517477.0,1234839590.36,23243049605.0,23206695230.0,989.74,19.21,232.43049605,232.0669523,300255.SZ,河北,生物制药,创业板,20110819,生物制药,,2026-06-29 13:11:43
920186,中科仪,103.66,-0.99,85875.0,912177762.71,23203161106.0,12136071519.0,33.81,6.78,232.03161106,121.36071519,920186.BJ,辽宁,机械基件,北交所,20260429,机械基件,,2026-06-29 13:11:43
300821,东岳硅材,19.31,-4.17,861520.0,1748060217.43,23172000000.0,23167959383.0,29.86,4.54,231.72,231.67959383,300821.SZ,山东,化工原料,创业板,20200312,化工原料,,2026-06-29 13:11:43
600323,瀚蓝环境,28.41,3.12,51365.0,143159994.0,23164012418.0,23164012418.0,10.0,1.52,231.64012418,231.64012418,600323.SH,广东,环境保护,主板,20001225,环境保护,,2026-06-29 13:11:43
603885,吉祥航空,10.6,-0.75,167544.0,175210781.0,23150455841.0,23150455841.0,13.14,2.33,231.50455841,231.50455841,603885.SH,上海,空运,主板,20150527,空运,,2026-06-29 13:11:43
603605,珀莱雅,58.45,3.09,53536.0,304813899.0,23144800064.0,23144800064.0,15.78,3.64,231.44800064,231.44800064,603605.SH,浙江,日用化工,主板,20171115,日用化工,,2026-06-29 13:11:43
600166,福田汽车,2.92,-2.67,1148701.0,332630452.0,23118809072.0,23118809072.0,11.53,1.44,231.18809072,231.18809072,600166.SH,北京,汽车整车,主板,19980602,汽车整车,,2026-06-29 13:11:43
002085,万丰奥威,10.88,-4.56,331975.0,367227140.26,23101477018.0,23101477018.0,23.76,3.07,231.01477018,231.01477018,002085.SZ,浙江,汽车配件,主板,20061128,汽车配件,,2026-06-29 13:11:43
603301,振德医疗,87.52,0.45,12566.0,109281977.0,23094447212.0,23094447212.0,106.04,4.09,230.94447212,230.94447212,603301.SH,浙江,医疗保健,主板,20180412,医疗保健,,2026-06-29 13:11:43
601918,新集能源,8.91,3.01,367609.0,319819517.0,23081727438.0,23081727438.0,10.53,1.32,230.81727438,230.81727438,601918.SH,安徽,煤炭开采,主板,20071219,煤炭开采,,2026-06-29 13:11:43
000738,航发控制,17.48,-0.79,116430.0,202728123.0,22989416337.0,22989416337.0,45.4,1.84,229.89416337,229.89416337,000738.SZ,江苏,航空,主板,19970626,航空,,2026-06-29 13:11:43
600114,东睦股份,36.3,-9.3,356237.0,1352425606.0,22919220215.0,22374720215.0,45.52,6.79,229.19220215,223.74720215,600114.SH,浙江,机械基件,主板,20040511,机械基件,,2026-06-29 13:11:43
